feature,importance
neighbourhood_cleansed_Willowridge-Martingrove-Richview,0.00044861818063773596
property_type_Private room in bed and breakfast,0.000441333479976855
neighbourhood_cleansed_Stonegate-Queensway,0.0004404606721244738
neighbourhood_cleansed_Victoria Village,0.00043548392871940224
property_type_Entire cottage,0.00043144480632510365
neighbourhood_cleansed_Lawrence Park North,0.00041642046617171313
neighbourhood_cleansed_Bathurst Manor,0.00041506821488415576
property_type_Entire bungalow,0.00041078419514888834
neighbourhood_cleansed_Henry Farm,0.0004019984549701797
neighbourhood_cleansed_Humber Heights-Westmount,0.0004017444563939431
neighbourhood_cleansed_Taylor-Massey,0.0004001025437064411
neighbourhood_cleansed_Alderwood,0.00039864240262024747
neighbourhood_cleansed_Kingsview Village-The Westway,0.000397184748383271
neighbourhood_cleansed_Centennial Scarborough,0.00038156771476939393
neighbourhood_cleansed_Rockcliffe-Smythe,0.00037587291287164657
neighbourhood_cleansed_Blake-Jones,0.00037001865511182363
property_type_Entire villa,0.0003552378133756548
neighbourhood_cleansed_Etobicoke West Mall,0.0003519204777128686
property_type_Room in hotel,0.00035140505312898065
neighbourhood_cleansed_Rexdale-Kipling,0.0003400338148673993
neighbourhood_cleansed_St.Andrew-Windfields,0.0003248268242531599
property_type_Private room in bungalow,0.0003207193184859171
neighbourhood_cleansed_Runnymede-Bloor West Village,0.00031687385507738305
neighbourhood_cleansed_Hillcrest Village,0.00031165810069612015
neighbourhood_cleansed_Humewood-Cedarvale,0.00029838274869101725
neighbourhood_cleansed_University,0.00029679380518128347
neighbourhood_cleansed_Yonge-St.Clair,0.0002904154824138587
neighbourhood_cleansed_Cliffcrest,0.0002832230558290648
neighbourhood_cleansed_West Hill,0.00028061037075879713
neighbourhood_cleansed_Oakridge,0.0002605833535696339
neighbourhood_cleansed_Forest Hill North,0.0002517254411254151
neighbourhood_cleansed_Danforth,0.0002450896460471464
neighbourhood_cleansed_Woburn,0.0002330125372891149
neighbourhood_cleansed_O'Connor-Parkview,0.0002212962827664591
property_type_Shared room in rental unit,0.00021786160335515373
neighbourhood_cleansed_Thorncliffe Park,0.00021509736361344876
neighbourhood_cleansed_Maple Leaf,0.00021195912937673814
neighbourhood_cleansed_Caledonia-Fairbank,0.00021142657197249887
property_type_Private room in barn,0.00018583492410561702
neighbourhood_cleansed_Dorset Park,0.0001620426970606331
property_type_Entire place,0.00015838906445120912
neighbourhood_cleansed_Lawrence Park South,0.0001559134946931635
property_type_Room in boutique hotel,0.00014636005753036792
property_type_Private room in villa,0.00013524932623727333
neighbourhood_cleansed_Thistletown-Beaumond Heights,0.00013492950135054725
neighbourhood_cleansed_Rosedale-Moore Park,0.0001303698904961745
neighbourhood_cleansed_Playter Estates-Danforth,0.00012524658254495577
neighbourhood_cleansed_Englemount-Lawrence,0.00012252736492980405
property_type_Entire serviced apartment,0.00010694215142745098
neighbourhood_cleansed_Elms-Old Rexdale,9.014746533894328e-05
neighbourhood_cleansed_Keelesdale-Eglinton West,8.41814806850995e-05
neighbourhood_cleansed_Agincourt South-Malvern West,8.29055201394155e-05
neighbourhood_cleansed_Agincourt North,8.133428201186977e-05
room_type_Shared room,7.082524054713538e-05
neighbourhood_cleansed_Guildwood,6.380990254520924e-05
neighbourhood_cleansed_Kennedy Park,6.032015120755513e-05
neighbourhood_cleansed_Mount Olive-Silverstone-Jamestown,5.892827570960264e-05
neighbourhood_cleansed_Pelmo Park-Humberlea,5.424642908689173e-05
neighbourhood_cleansed_Kingsway South,5.3370241676307614e-05
property_type_Private room,4.953679282114516e-05
neighbourhood_cleansed_Edenbridge-Humber Valley,4.115613805991976e-05
property_type_Entire vacation home,3.6113333715780105e-05
room_type_Hotel room,2.4753183950884244e-05
property_type_Tiny home,2.3910958732879547e-05
property_type_Private room in loft,2.052224179215311e-05
property_type_Private room in guesthouse,1.2990855261905255e-05
property_type_Private room in vacation home,1.0159956673772835e-05
property_type_Shared room in condo,5.808480763301759e-06
neighbourhood_cleansed_Humber Summit,3.98500458636927e-06
property_type_Shared room in townhouse,3.233861124581775e-06
property_type_Room in bed and breakfast,3.2293936352105998e-06
property_type_Private room in hostel,2.329091428859885e-06
property_type_Private room in serviced apartment,2.127403605058438e-06
neighbourhood_cleansed_Morningside,2.0040253148888564e-06
property_type_Shared room in home,6.581732427912037e-07
property_type_Private room in cabin,6.329028393112035e-07
property_type_Cave,5.595509636008638e-07
property_type_Shipping container,3.9177791602060957e-07
property_type_Shared room in loft,2.1521396116604525e-07
property_type_Shared room in hostel,1.71325388695569e-07
property_type_Shared room in bungalow,2.0201307600176218e-08
property_type_Shared room in guest suite,7.681394855980398e-10
property_type_Private room in casa particular,0.0
property_type_Private room in cottage,0.0
property_type_Private room in tiny home,0.0
property_type_Casa particular,0.0
