listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
14314,Greenpoint Place...Has It All!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/cd3a00f3-a42d-416d-8073-da9e3c6c301f.jpg,26,56246,Jeanne,"","",false,40.7354,-73.9558,2,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Portable fans,Conditioner,Free street parking,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Children’s books and toys,Blender,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Toaster",false,30,Firm,USD,0,0,176,4.83,4.9,4.9,4.9,4.9,4.8,4.8,3511.0,3511.0,120.7,120.7,0.079,0.197,9.6,9.6,23.9,23.9,29,218,336,365,0.0,0.0,124.1,124.1,0.0,0.0,0.0,0.0,0.0,0.0,0,70,90,90
15341,"* Lovely Nolita 1Bdrm w AC, Doorman & Elevator *",Entire condo,entire_home,https://a0.muscache.com/im/pictures/0dd3d9cc-88be-48e3-8cac-8a28aaf586d4.jpg,33,60049,Ted,"69439,104450469","Jade,Janet",true,40.7214,-73.9937,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Gym,Conditioner,Elevator,Trash compactor,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Rice maker,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Baking sheet,Sun loungers,Toaster",false,30,Firm,USD,250,0,42,4.61,4.7,4.9,4.5,4.8,4.7,4.4,14659.0,14659.0,223.1,223.1,0.184,0.201,40.2,40.2,43.9,43.9,67,31,298,365,5844.0,5844.0,241.6,241.6,0.278,0.424,64.9,64.9,99.1,99.1,25,31,65,90
15385,"Very, very cozy place",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/b5e00503-6ad9-4ce5-8388-8ca53442f82f.jpg,4,60252,Cristina,"","",false,40.7121,-73.9640,,,1,0.0,false,"Stove,Wifi,Carbon monoxide alarm,Air conditioning,First aid kit,Essentials,Lock on bedroom door,Hot water,Bed linens,Refrigerator,Heating,Clothing storage",false,30,Strict,USD,1323,0,61,4.86,4.8,4.9,4.8,4.9,4.9,4.7,16472.0,16472.0,90.2,90.2,0.493,0.818,45.1,45.1,74.9,74.9,180,145,185,365,0.0,0.0,79.2,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0,78,90,90
16580,"Sunny, Modern room in East Village w City Views",Private room in condo,private_room,https://a0.muscache.com/im/pictures/37e211bb-6ef8-44b6-8022-7427e7a241a5.jpg,16,64442,Reka,"","",true,40.7237,-73.9763,,,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",false,1,Firm,USD,0,0,654,4.81,4.8,4.8,4.8,4.8,4.8,4.7,64570.0,64570.0,188.4,188.4,0.937,0.0,176.9,176.9,0.0,0.0,342,0,23,365,17846.0,17846.0,219.1,219.1,0.889,0.0,198.3,198.3,0.0,0.0,80,0,10,90
16821,Charming Room in Amazing East Village Apt. (B),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-16821/original/e4018fde-baeb-41da-803b-1a99cedb4527.jpg,38,4396,Casey,"","",true,40.7228,-73.9850,,,1,0.0,false,"Wifi,Kitchen,Room-darkening shades,Hot water kettle,Portable fans,Smoking allowed,Hot water,Record player,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Stove,Wine glasses,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Outdoor dining area,Freezer",false,1,Strict,USD,0,0,275,4.73,4.8,4.7,4.5,4.9,4.9,4.6,49532.0,49532.0,173.4,173.4,0.778,0.0,135.7,135.7,0.0,0.0,284,0,81,365,11522.0,11522.0,183.5,183.5,0.689,0.0,128.0,128.0,0.0,0.0,62,0,28,90
17037,Lovely EV Artist's Home,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6477265/3746d647_original.jpg,24,66035,Anna,"","",false,40.7229,-73.9803,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Free street parking,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,30,Strict,USD,200,20,54,4.8,4.8,5.0,4.9,5.0,4.6,4.6,4460.0,4460.0,257.6,257.6,0.049,0.071,12.2,12.2,17.5,17.5,18,110,347,365,0.0,0.0,273.2,273.2,0.0,0.0,0.0,0.0,0.0,0.0,0,22,90,90
18728,Beautiful Meatpacking District Loft,Private room in loft,private_room,https://a0.muscache.com/im/pictures/460797/6182315b_original.jpg,27,71876,DAVID And RICK,"","",true,40.7426,-74.0035,3,1,1,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Portable fans,Breakfast,Conditioner,Elevator,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Luggage dropoff allowed,Baking sheet,Toaster",true,30,Strict,USD,75,75,250,4.95,4.9,5.0,5.0,5.0,5.0,4.9,17186.0,17186.0,160.5,160.5,0.282,0.355,47.1,47.1,59.3,59.3,103,75,262,365,156.0,156.0,161.7,161.7,0.011,0.067,1.7,1.7,10.4,10.4,1,75,89,90
23545,Upper Upper West Side Garden Apartment Townhouse,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjM1NDU=/original/425395d9-ebc9-4002-ae50-ec0573a5e78a.jpeg,13,92411,Karen,"","",true,40.8283,-73.9514,2,1,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Conditioner,Free street parking,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Heating,Coffee,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Barbecue utensils",false,30,Flexible,USD,0,0,215,4.75,4.9,4.8,4.9,4.6,4.4,4.7,2606.0,2606.0,199.4,199.4,0.036,0.0,7.1,7.1,0.0,0.0,13,0,352,365,1208.0,1208.0,197.0,197.0,0.067,0.0,13.4,13.4,0.0,0.0,6,0,84,90
24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2c561134-1d30-433e-876e-23dcdddc7996.jpg,99,97797,Brandon,"","",false,40.6712,-73.9803,5,3,7,3.0,false,"TV,Cable TV,Blender,Window guards,Wifi,Air conditioning,Kitchen,Hot water kettle,Ceiling fan,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Toaster,Bathtub",false,30,Strict,USD,0,0,93,4.83,4.8,5.0,4.9,4.8,4.8,4.8,23683.0,23683.0,233.0,233.0,0.271,0.513,64.9,64.9,122.7,122.7,99,172,266,365,1718.0,1718.0,216.2,216.2,0.089,0.0,19.1,19.1,0.0,0.0,8,0,82,90
29013,Cozy Gorgeous Room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/6e831400-d367-4738-b2a1-abacb1c1dd67.jpg,11,35935,Angela,"","",true,40.6829,-73.9565,,,1,0.0,false,"TV,Blender,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Toaster,Bathtub",false,30,Strict,USD,180,5,77,4.73,4.4,4.8,4.6,4.7,4.4,4.5,3544.0,3544.0,84.4,84.4,0.118,0.41,9.7,9.7,33.8,33.8,43,260,322,365,0.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73,90,90
