listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
724866,2025-02-01,28,0,0.0,0.0,215.9,,,,30,,216.0,0.0
302705,2024-10-01,30,1,0.032,66.0,66.5,66.0,,,,66.0,67.0,66.0
724866,2025-04-01,30,0,0.0,0.0,225.1,,,,30,,225.0,0.0
724866,2025-06-01,30,0,0.0,0.0,236.1,,,,30,,236.0,0.0
904060,2024-09-01,30,0,0.0,0.0,279.0,,,,,,279.0,0.0
302705,2024-12-01,31,0,0.0,0.0,64.0,,,,,,64.0,0.0
724866,2025-03-01,31,0,0.0,0.0,217.6,,,,30,,218.0,0.0
783202,2024-11-01,0,30,1.0,10251.0,341.7,341.7,13,4,,342.0,342.0,10251.0
302705,2025-05-01,0,31,1.0,2153.0,69.5,69.5,,,30,70.0,70.0,2153.0
783202,2025-05-01,6,25,0.806,8844.0,362.7,353.8,25,6,1,354.0,363.0,8844.0
783202,2025-01-01,7,24,0.774,7122.0,296.1,296.8,11,2,1,297.0,296.0,7122.0
613528,2024-12-01,1,30,0.968,3085.0,102.8,102.8,131,4,2,103.0,103.0,3085.0
613528,2025-02-01,0,28,1.0,2423.0,86.5,86.5,93,5,2,87.0,87.0,2423.0
590903,2024-09-01,30,0,0.0,0.0,89.3,,,,,,89.0,0.0
590903,2025-06-01,30,0,0.0,0.0,100.2,,,,30,,100.0,0.0
590903,2025-07-01,31,0,0.0,0.0,101.7,,,,30,,102.0,0.0
590903,2024-11-01,30,0,0.0,0.0,88.1,,,,,,88.0,0.0
590903,2025-03-01,31,0,0.0,0.0,87.8,,,,30,,88.0,0.0
590903,2025-08-01,31,0,0.0,0.0,106.5,,,,30,,107.0,0.0
590903,2025-04-01,30,0,0.0,0.0,98.1,,,,30,,98.0,0.0
590903,2025-01-01,24,7,0.226,599.0,82.2,85.6,32,1,30,86.0,82.0,599.0
590903,2024-12-01,23,8,0.258,693.0,85.9,86.6,6,14,,87.0,86.0,693.0
590903,2025-05-01,31,0,0.0,0.0,100.1,,,,30,,100.0,0.0
590903,2024-10-01,31,0,0.0,0.0,89.5,,,,,,90.0,0.0
590903,2025-02-01,28,0,0.0,0.0,79.6,,,,30,,80.0,0.0
148825,2025-05-01,9,22,0.71,2435.0,111.1,110.7,122,10,30,111.0,111.0,2435.0
12940,2024-09-01,0,30,1.0,3834.0,127.8,127.8,194,30,,128.0,128.0,3834.0
12940,2025-03-01,31,0,0.0,0.0,128.1,,,,30,,128.0,0.0
148825,2024-11-01,27,3,0.1,354.0,116.8,118.0,122,1,,118.0,117.0,354.0
148825,2025-07-01,31,0,0.0,0.0,110.7,,,,30,,111.0,0.0
12940,2025-02-01,23,5,0.179,628.0,127.4,125.6,,,30,126.0,127.0,628.0
12940,2025-07-01,31,0,0.0,0.0,127.5,,,,30,,128.0,0.0
12940,2024-10-01,16,15,0.484,1973.0,131.8,131.5,1,27,,132.0,132.0,1973.0
148825,2025-03-01,28,3,0.097,341.0,113.4,113.7,101,46,30,114.0,113.0,341.0
12940,2024-11-01,11,19,0.633,2488.0,130.6,130.9,,,,131.0,131.0,2488.0
12940,2025-08-01,24,7,0.226,903.0,130.7,129.0,24,30,30,129.0,131.0,903.0
12940,2024-12-01,2,29,0.935,3797.0,130.7,130.9,41,30,,131.0,131.0,3797.0
148825,2025-04-01,0,30,1.0,3334.0,111.1,111.1,,,30,111.0,111.0,3334.0
148825,2025-01-01,26,5,0.161,564.0,113.3,112.8,20,5,30,113.0,113.0,564.0
148825,2025-06-01,18,12,0.4,1322.0,110.5,110.2,,,30,110.0,111.0,1322.0
148825,2024-10-01,7,24,0.774,3090.0,127.9,128.8,259,3,,129.0,128.0,3090.0
12940,2025-01-01,18,13,0.419,1674.0,129.3,128.8,11,8,30,129.0,129.0,1674.0
148825,2025-08-01,23,8,0.258,1056.0,123.0,132.0,26,35,30,132.0,123.0,1056.0
12940,2025-06-01,0,30,1.0,3809.0,127.0,127.0,153,15,30,127.0,127.0,3809.0
148825,2025-02-01,28,0,0.0,0.0,114.0,,,,30,,114.0,0.0
12940,2025-04-01,15,15,0.5,1869.0,126.3,124.6,119,15,30,125.0,126.0,1869.0
148825,2024-09-01,1,29,0.967,3810.0,131.4,131.4,225,51,,131.0,131.0,3810.0
12940,2025-05-01,0,31,1.0,3865.0,124.7,124.7,88,10,30,125.0,125.0,3865.0
148825,2024-12-01,31,0,0.0,0.0,123.9,,,,,,124.0,0.0
538465,2025-06-01,23,7,0.233,969.0,138.7,138.4,95,3,30,138.0,139.0,969.0
538465,2025-08-01,30,1,0.032,145.0,140.3,145.0,238,1,30,145.0,140.0,145.0
538465,2024-10-01,29,2,0.065,252.0,125.9,126.0,,,,126.0,126.0,252.0
9357,2025-01-01,31,0,0.0,0.0,190.9,,,,30,,191.0,0.0
9357,2024-12-01,23,8,0.258,1518.0,189.0,189.8,1,8,,190.0,189.0,1518.0
9357,2025-06-01,28,2,0.067,367.0,179.8,183.5,1,2,30,184.0,180.0,367.0
9357,2024-11-01,30,0,0.0,0.0,182.5,,,,,,183.0,0.0
538465,2025-03-01,31,0,0.0,0.0,129.5,,,,30,,130.0,0.0
538465,2025-02-01,28,0,0.0,0.0,127.9,,,,30,,128.0,0.0
9357,2025-02-01,28,0,0.0,0.0,190.1,,,,30,,190.0,0.0
538465,2024-11-01,30,0,0.0,0.0,134.6,,,,,,135.0,0.0
9357,2024-10-01,31,0,0.0,0.0,185.1,,,,,,185.0,0.0
9357,2025-05-01,31,0,0.0,0.0,176.1,,,,30,,176.0,0.0
9357,2025-03-01,31,0,0.0,0.0,189.6,,,,30,,190.0,0.0
538465,2025-01-01,29,2,0.065,257.0,129.8,128.5,22,1,30,129.0,130.0,257.0
9357,2024-09-01,30,0,0.0,0.0,186.7,,,,,,187.0,0.0
538465,2024-09-01,28,2,0.067,250.0,125.4,125.0,97,2,,125.0,125.0,250.0
538465,2025-07-01,30,1,0.032,140.0,140.3,140.0,210,1,30,140.0,140.0,140.0
538465,2025-04-01,28,2,0.067,266.0,136.7,133.0,117,1,30,133.0,137.0,266.0
9357,2025-08-01,31,0,0.0,0.0,177.4,,,,30,,177.0,0.0
538465,2024-12-01,19,12,0.387,1580.0,130.7,131.7,90,6,,132.0,131.0,1580.0
538465,2025-05-01,28,3,0.097,411.0,137.4,137.0,144,1,30,137.0,137.0,411.0
9357,2025-07-01,25,6,0.194,1050.0,176.3,175.0,38,6,30,175.0,176.0,1050.0
9357,2025-04-01,30,0,0.0,0.0,178.9,,,,30,,179.0,0.0
853142,2024-09-01,30,0,0.0,0.0,117.1,,,,,,117.0,0.0
279857,2025-03-01,6,25,0.806,32265.0,1295.0,1290.6,78,9,3,1291.0,1295.0,32265.0
279857,2025-02-01,12,16,0.571,15500.0,985.3,968.8,32,4,4,969.0,985.0,15500.0
279857,2025-04-01,8,22,0.733,26770.0,1184.5,1216.8,242,5,4,1217.0,1185.0,26770.0
853142,2025-05-01,31,0,0.0,0.0,87.8,,,,30,,88.0,0.0
279857,2025-06-01,7,23,0.767,31248.0,1362.6,1358.6,186,5,3,1359.0,1363.0,31248.0
919830,2025-07-01,31,0,0.0,0.0,401.7,,,,30,,402.0,0.0
919830,2024-09-01,17,13,0.433,5977.0,451.4,459.8,70,3,,460.0,451.0,5977.0
919830,2025-04-01,30,0,0.0,0.0,415.2,,,,30,,415.0,0.0
919830,2024-10-01,19,12,0.387,5561.0,467.4,463.4,112,3,,463.0,467.0,5561.0
853142,2025-02-01,28,0,0.0,0.0,104.0,,,,30,,104.0,0.0
279857,2024-11-01,21,9,0.3,11969.0,1312.9,1329.9,134,2,,1330.0,1313.0,11969.0
279857,2025-07-01,6,25,0.806,32770.0,1326.3,1310.8,69,5,2,1311.0,1326.0,32770.0
919830,2025-05-01,31,0,0.0,0.0,411.7,,,,30,,412.0,0.0
279857,2024-12-01,0,31,1.0,43705.0,1409.8,1409.8,181,4,,1410.0,1410.0,43705.0
853142,2025-07-01,31,0,0.0,0.0,85.1,,,,30,,85.0,0.0
853142,2024-10-01,31,0,0.0,0.0,121.2,,,,,,121.0,0.0
919830,2025-02-01,27,1,0.036,411.0,439.9,411.0,72,7,30,411.0,440.0,411.0
919830,2024-11-01,30,0,0.0,0.0,453.6,,,,,,454.0,0.0
853142,2024-11-01,15,15,0.5,1741.0,119.0,116.1,54,45,,116.0,119.0,1741.0
279857,2024-10-01,13,18,0.581,23365.0,1296.9,1298.1,109,3,,1298.0,1297.0,23365.0
279857,2024-09-01,10,20,0.667,25626.0,1282.0,1281.3,103,3,,1281.0,1282.0,25626.0
853142,2025-03-01,31,0,0.0,0.0,101.5,,,,30,,102.0,0.0
919830,2024-12-01,28,3,0.097,1381.0,462.7,460.3,11,4,30,460.0,463.0,1381.0
279857,2025-08-01,11,20,0.645,26797.0,1357.9,1339.8,128,5,3,1340.0,1358.0,26797.0
919830,2025-08-01,31,0,0.0,0.0,405.8,,,,30,,406.0,0.0
279857,2025-05-01,6,25,0.806,33196.0,1324.6,1327.8,152,3,3,1328.0,1325.0,33196.0
853142,2025-01-01,2,29,0.935,3037.0,104.8,104.7,15,29,30,105.0,105.0,3037.0
853142,2025-08-01,31,0,0.0,0.0,85.6,,,,30,,86.0,0.0
279857,2025-01-01,16,15,0.484,19976.0,1312.8,1331.7,13,4,4,1332.0,1313.0,19976.0
853142,2025-06-01,30,0,0.0,0.0,86.1,,,,30,,86.0,0.0
919830,2025-03-01,25,6,0.194,2510.0,441.2,418.3,,,30,418.0,441.0,2510.0
919830,2025-01-01,30,1,0.032,457.0,452.2,457.0,,,30,457.0,452.0,457.0
853142,2025-04-01,30,0,0.0,0.0,90.3,,,,30,,90.0,0.0
853142,2024-12-01,1,30,0.968,3503.0,116.5,116.8,,,,117.0,117.0,3503.0
919830,2025-06-01,25,5,0.167,2034.0,406.2,406.8,7,5,30,407.0,406.0,2034.0
82638,2025-02-01,9,19,0.679,2583.0,136.2,135.9,,,30,136.0,136.0,2583.0
42300,2024-11-01,30,0,0.0,0.0,762.3,,,,,,762.0,0.0
82638,2025-04-01,7,23,0.767,3283.0,142.6,142.7,1,12,30,143.0,143.0,3283.0
42300,2024-10-01,31,0,0.0,0.0,766.0,,,,,,766.0,0.0
42300,2025-03-01,31,0,0.0,0.0,769.6,,,,30,,770.0,0.0
82638,2025-05-01,18,13,0.419,2392.0,174.5,184.0,1,11,30,184.0,175.0,2392.0
82638,2024-12-01,31,0,0.0,0.0,149.8,,,,30,,150.0,0.0
42300,2024-09-01,0,30,1.0,23043.0,768.1,768.1,,,,768.0,768.0,23043.0
42300,2024-12-01,31,0,0.0,0.0,767.5,,,,,,768.0,0.0
82638,2025-06-01,29,1,0.033,192.0,176.6,192.0,,,30,192.0,177.0,192.0
82638,2025-07-01,31,0,0.0,0.0,157.3,,,,30,,157.0,0.0
42300,2025-05-01,31,0,0.0,0.0,720.3,,,,30,,720.0,0.0
82638,2024-10-01,14,17,0.548,2505.0,147.5,147.4,1,21,,147.0,148.0,2505.0
82638,2024-09-01,29,1,0.033,145.0,149.4,145.0,1,16,,145.0,149.0,145.0
