feature,importance
accommodates,0.13132372865522884
beds,0.06771678614547484
bedrooms,0.06769351977253106
room_type_Entire home/apt,0.036266628673070886
bathrooms,0.03343303317717828
property_type_Private room in rental unit,0.030817926881853565
room_type_Private room,0.027881812650071506
amenity_5,0.0253469670542616
amenity_221,0.014101724316508872
amenity_218,0.011996065515025321
amenity_156,0.01187965642392803
amenity_119,0.011311057884776836
review_scores_cleanliness,0.010875726161635641
amenity_214,0.010364775034519623
amenity_188,0.009399346863744941
amenity_189,0.009329048169499149
amenity_146,0.009028279445284561
amenity_254,0.00902661690184747
review_scores_value,0.008649073139959843
property_type_Entire rental unit,0.008359139126818738
amenity_154,0.008318425888382858
review_scores_location,0.008186381244492108
review_scores_rating,0.008183142798549736
amenity_104,0.007745453050157033
amenity_225,0.007714634374758722
amenity_194,0.0072182155978157345
review_scores_communication,0.007151275508335286
amenity_79,0.007016793742154675
amenity_82,0.007005380180166158
amenity_247,0.006937520888896907
amenity_40,0.006936427585163654
amenity_158,0.00690124482178698
amenity_142,0.006799273995544699
amenity_59,0.006636767388597405
review_scores_checkin,0.006635737535483855
amenity_85,0.006475641529403926
amenity_246,0.006302111588946149
amenity_212,0.006282063613943708
amenity_80,0.006277985519636148
amenity_178,0.005893704756639932
amenity_128,0.005601549691011346
amenity_93,0.005463540668767742
amenity_133,0.0054633018469355385
amenity_224,0.00540163746680662
amenity_116,0.005310103397183684
amenity_164,0.005118988125320591
amenity_232,0.00501956646532986
amenity_171,0.004802897808193571
amenity_48,0.00458865074677267
property_type_Entire home,0.004468558283663363
amenity_62,0.004356781805973769
amenity_205,0.004354186905688748
amenity_193,0.0043343805960293445
amenity_38,0.004331742389805899
amenity_209,0.0043279374617137024
amenity_89,0.004240334028194923
amenity_129,0.004207055123800654
property_type_Private room in home,0.004008846682697751
amenity_88,0.003977102523742257
amenity_91,0.003925588733268995
property_type_Entire townhouse,0.003913080133459312
amenity_148,0.0039031905379634034
amenity_94,0.0039018363293685447
amenity_4,0.0038188478637157784
amenity_199,0.0037257447331653297
amenity_24,0.0037015176632895653
amenity_245,0.003650162623102974
amenity_14,0.003611320464686513
amenity_181,0.003492504488510387
amenity_213,0.0034322245402109344
amenity_111,0.003293476500070479
amenity_109,0.003161218408452818
amenity_162,0.003053812687052902
amenity_229,0.0030073462050138923
amenity_136,0.002884013241408111
amenity_237,0.002784284814651294
amenity_143,0.0027686625931543306
amenity_75,0.0027121129399933935
amenity_69,0.002635438687715045
amenity_54,0.002502445681704739
amenity_25,0.002469424319205895
amenity_176,0.002431153461676179
amenity_63,0.0024146989280036165
amenity_18,0.002413211802063139
amenity_198,0.0023404731047518518
amenity_46,0.0023362856112454852
amenity_53,0.002291708001079118
amenity_248,0.0022583570543712713
amenity_87,0.0021799223272541087
amenity_211,0.002025735351012505
amenity_77,0.0020215955482901383
amenity_234,0.002014659808145923
amenity_117,0.001991465291509306
neighbourhood_cleansed_Hell's Kitchen,0.0019807916668502937
amenity_203,0.0019721533855276345
neighbourhood_cleansed_Harlem,0.001906282676403857
amenity_124,0.0018780270800987909
amenity_241,0.001873104718577572
amenity_90,0.0018712734733364956
amenity_74,0.0018318868273004758
