City,Region,Country,Date,listings_url,geojson_url
"Clark County, NV, Nevada, United States",,,2025-03-15,https://data.insideairbnb.com/united-states/nv/clark-county-nv/2025-03-15/data/listings.csv.gz,https://data.insideairbnb.com/united-states/nv/clark-county-nv/2025-03-15/visualisations/neighbourhoods.geojson
"Clark County, NV, Nevada, United States",,,2024-12-21,https://data.insideairbnb.com/united-states/nv/clark-county-nv/2024-12-21/data/listings.csv.gz,https://data.insideairbnb.com/united-states/nv/clark-county-nv/2024-12-21/visualisations/neighbourhoods.geojson
Columbus,Ohio,United States,2025-06-24,https://data.insideairbnb.com/united-states/oh/columbus/2025-06-24/data/listings.csv.gz,https://data.insideairbnb.com/united-states/oh/columbus/2025-06-24/visualisations/neighbourhoods.geojson
Columbus,Ohio,United States,2025-03-19,https://data.insideairbnb.com/united-states/oh/columbus/2025-03-19/data/listings.csv.gz,https://data.insideairbnb.com/united-states/oh/columbus/2025-03-19/visualisations/neighbourhoods.geojson
Columbus,Ohio,United States,2024-12-25,https://data.insideairbnb.com/united-states/oh/columbus/2024-12-25/data/listings.csv.gz,https://data.insideairbnb.com/united-states/oh/columbus/2024-12-25/visualisations/neighbourhoods.geojson
Copenhagen,Hovedstaden,Denmark,2025-06-27,https://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2025-06-27/data/listings.csv.gz,https://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2025-06-27/visualisations/neighbourhoods.geojson
Copenhagen,Hovedstaden,Denmark,2025-03-23,https://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2025-03-23/data/listings.csv.gz,https://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2025-03-23/visualisations/neighbourhoods.geojson
Copenhagen,Hovedstaden,Denmark,2024-12-30,https://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2024-12-30/data/listings.csv.gz,https://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2024-12-30/visualisations/neighbourhoods.geojson
Crete,Crete,Greece,2025-06-25,https://data.insideairbnb.com/greece/crete/crete/2025-06-25/data/listings.csv.gz,https://data.insideairbnb.com/greece/crete/crete/2025-06-25/visualisations/neighbourhoods.geojson
Crete,Crete,Greece,2025-03-23,https://data.insideairbnb.com/greece/crete/crete/2025-03-23/data/listings.csv.gz,https://data.insideairbnb.com/greece/crete/crete/2025-03-23/visualisations/neighbourhoods.geojson
Crete,Crete,Greece,2024-12-29,https://data.insideairbnb.com/greece/crete/crete/2024-12-29/data/listings.csv.gz,https://data.insideairbnb.com/greece/crete/crete/2024-12-29/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-08-19,https://data.insideairbnb.com/united-states/tx/dallas/2025-08-19/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-08-19/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-07-20,https://data.insideairbnb.com/united-states/tx/dallas/2025-07-20/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-07-20/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-06-15,https://data.insideairbnb.com/united-states/tx/dallas/2025-06-15/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-06-15/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-05-14,https://data.insideairbnb.com/united-states/tx/dallas/2025-05-14/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-05-14/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-04-16,https://data.insideairbnb.com/united-states/tx/dallas/2025-04-16/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-04-16/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-03-11,https://data.insideairbnb.com/united-states/tx/dallas/2025-03-11/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-03-11/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-02-16,https://data.insideairbnb.com/united-states/tx/dallas/2025-02-16/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-02-16/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2025-01-22,https://data.insideairbnb.com/united-states/tx/dallas/2025-01-22/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2025-01-22/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2024-12-15,https://data.insideairbnb.com/united-states/tx/dallas/2024-12-15/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2024-12-15/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2024-11-18,https://data.insideairbnb.com/united-states/tx/dallas/2024-11-18/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2024-11-18/visualisations/neighbourhoods.geojson
Dallas,Texas,United States,2024-10-18,https://data.insideairbnb.com/united-states/tx/dallas/2024-10-18/data/listings.csv.gz,https://data.insideairbnb.com/united-states/tx/dallas/2024-10-18/visualisations/neighbourhoods.geojson
Denver,Colorado,United States,2025-06-27,https://data.insideairbnb.com/united-states/co/denver/2025-06-27/data/listings.csv.gz,https://data.insideairbnb.com/united-states/co/denver/2025-06-27/visualisations/neighbourhoods.geojson
Denver,Colorado,United States,2025-03-26,https://data.insideairbnb.com/united-states/co/denver/2025-03-26/data/listings.csv.gz,https://data.insideairbnb.com/united-states/co/denver/2025-03-26/visualisations/neighbourhoods.geojson
Denver,Colorado,United States,2024-12-30,https://data.insideairbnb.com/united-states/co/denver/2024-12-30/data/listings.csv.gz,https://data.insideairbnb.com/united-states/co/denver/2024-12-30/visualisations/neighbourhoods.geojson
